"Target","ARIMA","ETS","SVR","ELM","XGB","LSTM","MLP"
34833.7142857143,36671.8506682646,36925.710395288,36300.9843992528,35947.1077315078,38336.9913345064,34569.0745675904,34754.6820431437
32797,32264.2133629925,32694.940722891,33118.0097693165,33207.6086008408,36561.8881537574,30363.5141040938,32524.4133908749
30720.4285714286,31130.8303776413,30997.4771587754,31135.7863225789,31088.1546072964,34438.7953453745,29448.1102431161,30283.6017099789
29073.8571428571,28738.4164388349,28992.1402452738,29062.7434533254,28638.3057575885,31919.93480243,27170.1192302704,27936.9277085917
27615,27501.6821604482,27612.1835326974,27553.7044317005,27601.2967711652,30021.1025957039,26027.4932427406,26015.4346101965
26586.2857142857,26112.0585135931,26334.7124952214,25794.9925480091,26074.5815382918,28599.811052118,24745.2992972646,25065.4540750299
26288.8571428571,25438.036673089,25607.4779612871,24979.4756822078,25097.3322695419,27422.197261061,24147.0643001284,24216.3221729142
21412.1428571429,25640.1375652209,25833.5472985141,25343.7097748334,24543.5255263996,26767.195057903,24388.536587647,24161.8335989884
22063.8571428571,17824.5088399965,18606.0415750792,19934.589008861,19673.47505036,24649.3424065113,16839.1897899253,20527.1959047999
21902.1428571429,22418.340963761,21691.2380299664,21015.1370734832,21749.0986959477,23005.7762250219,21476.4168959345,19503.5674717086
21616.4285714286,20902.5074458559,21698.1660226404,21042.9015779466,20441.3091806406,21679.9642440591,19958.0117248126,19394.5415457998
21560.2857142857,21253.1386237508,21381.5279015888,21179.6398814219,21548.4608584512,22094.6787696566,20175.0531740189,19556.6101246561
21562.4285714286,21246.9740367119,21459.9907826537,20625.5535217082,21521.4988597599,22570.7107971736,20222.5211918695,21027.8225255353
21637.2857142857,21398.0702575046,21536.0466132607,21419.4850284339,24958.316708302,22361.700306654,20352.7028579712,20751.7979528563
25411,21562.9732108711,21677.352464432,22381.848122795,19520.7544012281,22416.230690343,20497.0719703947,20880.0598539965
23857.7142857143,27803.8791149665,28066.6972797452,26328.3363868571,32396.2784759609,24020.1159223829,26543.056401389,24131.2427888938
23306.8571428571,22646.361076309,23622.1943893687,24427.9758653732,26721.1265144822,25042.0057661533,21210.3674359322,24486.0508920806
22922,23515.3950331562,22899.6421330146,23734.2325349813,23568.0706758312,25473.63930927,22128.1614217077,23846.8318745409
22552,22576.3934566292,22570.0176147806,23074.2403526186,21935.8793365546,24273.3402375153,21282.0990530423,22858.8497487477
22291.5714285714,22346.5890659191,22224.3601774967,23075.0409298252,23652.5645401741,23311.5588966778,20997.6184557506,21099.3381255354
21995.8571428571,22065.5605862141,22038.3172636182,21970.5511790636,22050.9286856484,23179.5619900227,20720.977189064,21246.6548262664
21385.8571428571,21747.8186162321,21741.2021142876,21011.1055826157,19719.7232092578,22926.0031967844,20419.6193840163,21055.5354302611
