[1] "Iter.: 74 | lag: 7 | kernel: linear | gamma: 0.001 | cost: 1 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00134532002591799"
[1] "Iter.: 75 | lag: 7 | kernel: linear | gamma: 0.001 | cost: 1 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00137446891267767"
[1] "Iter.: 76 | lag: 7 | kernel: linear | gamma: 0.001 | cost: 100 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.00207363864867584"
[1] "Iter.: 77 | lag: 7 | kernel: linear | gamma: 0.001 | cost: 100 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00148909062547869"
[1] "Iter.: 78 | lag: 7 | kernel: linear | gamma: 0.001 | cost: 100 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00150239390092895"
[1] "Iter.: 79 | lag: 7 | kernel: linear | gamma: 0.001 | cost: 1000 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.0021335054169335"
[1] "Iter.: 80 | lag: 7 | kernel: linear | gamma: 0.001 | cost: 1000 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00148030875247772"
[1] "Iter.: 81 | lag: 7 | kernel: linear | gamma: 0.001 | cost: 1000 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00148494482166517"
[1] "Iter.: 82 | lag: 7 | kernel: radial | gamma: 1 | cost: 1 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.985285666067601"
[1] "Iter.: 83 | lag: 7 | kernel: radial | gamma: 1 | cost: 1 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.990891444930686"
[1] "Iter.: 84 | lag: 7 | kernel: radial | gamma: 1 | cost: 1 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.992775071695461"
[1] "Iter.: 85 | lag: 7 | kernel: radial | gamma: 1 | cost: 100 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.984534873033919"
[1] "Iter.: 86 | lag: 7 | kernel: radial | gamma: 1 | cost: 100 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.959984244889586"
[1] "Iter.: 87 | lag: 7 | kernel: radial | gamma: 1 | cost: 100 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.957144902264233"
[1] "Iter.: 88 | lag: 7 | kernel: radial | gamma: 1 | cost: 1000 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.984534873033919"
[1] "Iter.: 89 | lag: 7 | kernel: radial | gamma: 1 | cost: 1000 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.905417142152479"
[1] "Iter.: 90 | lag: 7 | kernel: radial | gamma: 1 | cost: 1000 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.888913110724645"
[1] "Iter.: 91 | lag: 7 | kernel: radial | gamma: 0.1 | cost: 1 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.992208192698667"
[1] "Iter.: 92 | lag: 7 | kernel: radial | gamma: 0.1 | cost: 1 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.991661157089484"
[1] "Iter.: 93 | lag: 7 | kernel: radial | gamma: 0.1 | cost: 1 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.995979766625995"
[1] "Iter.: 94 | lag: 7 | kernel: radial | gamma: 0.1 | cost: 100 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.96043274862585"
[1] "Iter.: 95 | lag: 7 | kernel: radial | gamma: 0.1 | cost: 100 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.931041913158241"
[1] "Iter.: 96 | lag: 7 | kernel: radial | gamma: 0.1 | cost: 100 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.925173917598904"
[1] "Iter.: 97 | lag: 7 | kernel: radial | gamma: 0.1 | cost: 1000 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.950963675096576"
[1] "Iter.: 98 | lag: 7 | kernel: radial | gamma: 0.1 | cost: 1000 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.767399713748488"
