"","Target","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","ARIMA","ETS","SVR","ELM","XGB","MLP","LSTM","DESTC"
"31",38879.71429,39634.35139,39670.60587,39671.78957,39671.96528,39569.07555,38055.41105,38808.6084,38736.07243,38594.80632,38735.83516,38186.77227,38473.1441,38513.04767,38449.22111,38130.17415,39540.79519,39660.81781,39792.37194,39687.04203,39849.64753,37030.2373,37412.03171,37425.56855,36861.46449,37025.4492,34975.06843,36341.81246,36579.74532,34446.75702,33797.17249,39290.40664,40000.71481,39787.65064,40230.00199,39382.16193,31707.08226,36363.22796,37169.46988,33275.11863,34473.40488,33589.62968,31187.20792,28015.71981,31412.38181,31100.48979,39468.80098,39567.32989,39564.51593,39502.17064,40734.35619,37965.81819,37183.78748,39468.80098
"32",38117.57143,37823.17712,37837.80002,37881.23127,37784.12738,37836.7776,37006.52846,37349.56641,37316.42919,37453.03072,37400.66582,37290.23631,36916.04539,36881.453,37206.67327,36667.23787,37653.63235,37759.1594,37856.54961,37780.86936,37811.23066,35756.66304,36285.92278,36364.14706,35872.4743,36159.80239,35524.4303,35702.46988,35789.10839,34084.58518,34355.07388,38499.8727,37565.04657,37582.14513,36058.03857,38553.68465,35603.87133,35020.94283,31862.02674,32986.23541,32565.31094,37624.61868,27451.71094,30766.60191,30097.06816,30854.04334,37711.46308,37896.90261,38281.39618,39863.3419,39821.57241,37042.90948,35527.50764,37582.14513
"33",37482,37451.732,37481.12611,37521.01018,37453.43821,37392.01857,36198.45121,36665.19421,36510.10163,36471.63042,36540.19436,36374.02962,36199.93526,36129.55143,36064.73851,35782.62685,37581.39376,37627.76144,37665.02333,37675.3091,37654.54855,35808.67568,36139.46638,36507.69599,36240.48479,36362.28774,35159.49693,35759.99732,35853.68535,34217.76677,34602.81306,37927.56851,37443.55363,37559.51294,37279.83209,37492.42455,34958.93865,35305.25122,33560.266,33863.31607,33667.12946,35739.03677,30612.41718,32706.84888,31842.27156,31932.92646,37409.20751,37375.12637,37644.51462,36883.99287,38794.641,35950.29494,35244.9503,37375.12637
"34",36982.14286,36733.6191,36756.18822,36784.0926,36725.91901,36774.49211,35661.73232,35932.15657,35789.21731,35625.13002,35745.89472,35595.27573,35612.29029,35522.21099,35448.39536,35218.97279,36669.92292,36746.82693,36675.50866,36753.635,36763.75269,34988.26201,35657.38058,35551.05038,35395.98597,35550.67028,35201.03702,35091.4512,35032.75877,34009.89627,34186.0421,37651.69749,36793.58278,36782.36978,36598.12866,36686.65592,34554.23243,35111.03693,33675.07726,33559.16045,33344.08856,34849.31481,31635.01911,32571.1847,31959.25746,31694.16375,36758.95979,36882.644,36901.66868,37338.51918,37927.42986,35313.32668,34580.46076,36669.92292
"35",36461.42857,36420.79025,36452.83769,36453.24376,36478.45757,36400.04691,35388.73161,35733.75958,35600.22142,35365.18858,35531.51651,35228.34284,35553.32308,35617.32901,35427.75076,35333.00843,36468.68643,36536.00439,36538.11878,36543.41302,36437.17891,34905.65707,35263.67237,35308.81545,35055.6656,35160.5292,34085.29121,34722.3124,34771.45958,33854.99892,33703.62227,36052.70571,36001.84717,36011.12924,35998.82126,36192.50822,34747.4266,34724.38684,33652.4733,33619.99072,33481.24661,34195.34137,32662.70549,33201.57841,32695.53373,32498.5486,36422.18261,36505.3486,36267.52877,36278.66872,37379.0774,34876.13941,34251.39005,36001.84717
"36",34847.42857,35939.34001,35955.52186,35947.00051,35896.07079,35843.31438,35142.57718,35398.25418,35363.31736,35231.92474,35317.26419,35117.52293,35296.35824,35294.69231,35240.69529,35124.90836,35815.29127,35880.42877,35877.83668,35896.26269,35813.25646,34513.77513,34783.94791,34651.02367,34391.21604,34566.38513,33978.48177,34320.55081,34256.93407,33587.48449,33403.20123,36318.71263,35943.48286,35925.12268,35985.57635,36170.08661,34131.24235,34808.90123,33797.01556,33697.94834,33761.98165,34352.66978,32727.98693,33455.12406,33157.39495,32939.5677,35900.94965,36005.42499,35746.14965,35538.16713,36977.79774,34665.89204,33751.49858,35813.25646
"37",33168,33672.44245,33698.08552,33743.18525,33673.85324,33726.17144,33706.74345,33712.75338,33642.81847,33769.67484,33703.12259,33751.98065,33556.66687,33747.39797,33908.16605,33668.82935,33654.41045,33729.57627,33792.38497,33771.56583,33600.98949,32938.89362,33150.697,33288.50583,32989.39151,33081.02799,32849.52278,32958.8718,33110.99853,32700.38257,32621.04945,33921.07907,33506.39494,33610.77257,33699.58943,33640.48271,32355.88509,33099.28481,32680.75794,32063.06646,32433.19782,33101.23645,31643.44812,31924.87559,32398.79161,32121.96781,33614.16017,33739.13962,34047.98903,34204.83973,36082.55664,33398.14685,31551.40613,33654.41045
"38",31916.42857,31999.12507,32032.60491,32132.97339,31994.31428,31990.59786,31990.92202,31958.87031,31828.36536,32041.65288,31950.59754,32193.05475,31599.20022,31672.54751,31745.2506,31545.17242,32019.36928,32090.4356,32081.23397,32188.05474,31999.80941,31528.25842,31649.89764,31824.29709,31700.1125,31781.97485,31977.13898,31738.15915,31672.73589,31311.54428,31396.45609,32969.72356,32128.47983,32292.41606,32169.26499,32240.13684,31025.18837,31608.06135,30999.45849,30791.5579,31013.3922,31906.78468,30209.74319,30392.70482,30365.01157,30283.95853,31949.01321,31848.14127,32326.14347,32339.73063,34657.80185,31567.45063,30028.1789,31990.59786
"39",30172,30754.8893,30792.07271,30909.23806,31070.4721,30894.11794,30560.187,30405.05232,30207.4919,30233.73776,30235.83429,30537.68408,29978.15217,29993.78531,29836.90241,29795.2428,30784.93917,30895.72258,30842.45894,30935.88828,30809.09408,29919.89882,30262.61947,30392.01683,30294.84649,30534.61859,31095.07494,30460.64892,30385.79741,29868.82179,30156.15104,30779.23543,30849.26401,30860.95779,30592.41723,30812.74135,29516.30528,30098.91455,29719.70842,29689.46517,29777.48065,29989.86854,29130.50698,29161.08746,28909.97511,28633.41509,30838.72685,30791.66241,30931.35484,31035.28398,32975.57558,29860.89804,29009.93696,30779.23543
"40",28445.14286,28611.62601,28679.84599,28910.40713,28897.76871,28955.17772,28812.74572,28649.23193,28281.56603,28259.96711,28316.74271,28519.33743,28288.61973,28411.90323,28367.56904,28287.53453,28731.18931,28902.56217,28855.65521,28969.42867,28698.36727,28035.65613,28532.95915,28615.44241,28606.34687,28382.36767,29329.07799,28361.68209,28488.5225,28495.3958,28307.79013,29674.78568,28889.34369,28828.54062,28761.96657,28783.492,28575.52844,28307.82702,28102.64828,27976.88492,27995.81413,28525.65212,27671.54513,27760.97822,27577.94908,27559.41414,28716.13036,28813.54995,28980.48406,29238.12306,31330.66452,27983.10659,26986.30261,28716.13036
"41",27097,27018.1783,27090.13968,27396.20689,27402.04502,27247.32619,27252.85248,27164.32243,26862.60272,26896.44981,26939.9663,27102.03874,26838.17614,26902.91865,26872.89512,26855.4959,26979.26429,27186.97709,27222.56499,27379.91444,27108.39018,26519.70498,27068.31622,26807.95059,26955.17155,26490.52832,27372.58464,26715.83267,26491.89166,26688.78882,26302.50774,27715.69707,27284.16338,27153.46511,27239.71539,26938.61755,26758.37867,26837.91571,26728.7296,26486.22452,26570.62629,26635.95367,26954.9291,26103.30191,25898.20541,26171.94531,27037.58675,27036.77386,26929.11945,26715.60773,29798.16945,26335.08767,25443.17044,27037.58675
"42",26560.57143,25810.89504,25871.01866,26232.33629,26456.27096,26149.6927,25950.413,25819.61864,25633.93867,25605.00965,25648.5355,25903.8748,25545.00976,25597.97911,25458.14256,25545.1169,25735.04246,25960.82897,26041.40514,26208.68867,26221.87371,25171.1007,25900.39639,25567.06915,25788.68948,25738.88079,25800.90403,25813.48967,25835.35743,25308.54714,25509.41202,25261.39992,26090.80456,25948.97261,25875.7164,25645.86597,25030.7228,25838.27921,25831.42724,25869.40259,26159.00377,25296.80071,25858.45333,25616.57877,25479.05598,25496.33832,25858.57178,25895.80708,25515.5159,24747.91971,28234.30313,24931.06704,24397.53266,25819.61864
"43",24697.57143,25754.30651,25814.25651,26066.79956,26199.95916,26256.84711,25478.54277,25555.46611,25285.55455,25160.78153,25270.42786,25351.36446,25238.66136,25419.39159,25204.72011,25315.11073,25787.5613,25984.28577,26037.2325,26138.49646,26197.26475,25107.73481,25701.35368,25469.29355,25691.83826,25688.11022,25298.52444,25510.20116,25697.27818,25054.91773,25353.08099,25922.65364,26534.99127,26325.63051,26337.30741,26364.7324,24747.24518,25991.35796,26084.7507,26125.55713,26171.52094,25146.14081,25468.40919,25697.6173,25624.30692,25455.18403,25826.24498,25898.21038,25401.81117,24429.44116,27136.44843,24231.38066,24440.28314,25787.5613
"44",23565,23109.8373,23175.83252,23277.77341,23331.44185,23419.23801,23614.16235,23491.61846,23297.73675,23332.00972,23333.31863,23426.00728,23472.94467,23329.77383,23589.29489,23452.26446,23022.20515,23255.22539,23322.27684,23427.56258,23336.92313,23017.31075,23625.52911,23370.16296,23501.4952,22920.56551,23242.39757,23060.86568,23451.81223,23374.24637,23133.33709,24577.83204,23720.93696,23487.23596,23397.13516,23716.51876,23171.02171,23561.31683,23979.21643,23323.19157,23312.18653,23981.84796,23374.83704,23008.46557,23414.19687,23610.27229,23093.19856,23401.83279,23524.66443,23671.88887,26054.55461,22999.4734,21818.99564,23331.44185
"45",22409.85714,22712.45297,22767.20103,22924.76037,22869.75955,22744.09337,22825.19116,22878.69362,22837.53025,22875.91442,22905.53746,22829.95604,22828.02613,22796.71477,22827.7755,22867.72288,22661.82659,22831.66502,22961.56704,23035.02943,23049.75488,22863.37451,22963.18706,22808.38128,23088.6753,22924.45032,22255.17252,22932.41328,23061.79457,22864.51265,22747.68286,22560.21852,22932.84091,22772.7819,22730.26574,23357.96787,22613.00809,22685.89134,22667.92694,23096.74509,22886.08253,23014.04639,22469.03828,22458.77283,22473.47488,22882.62212,22611.28946,22523.08363,22426.93614,22358.2806,24956.97168,21876.62692,21448.54372,22747.68286
"46",21443.14286,21229.4214,21266.1724,21475.36366,21758.42975,21533.16419,21518.97527,21356.37902,21437.67426,21407.11331,21396.24302,21631.19085,21382.55817,21369.13993,21312.8728,21396.14982,21114.95282,21303.82638,21371.64153,21461.22238,21586.27189,21136.93304,21550.49668,21307.89655,21474.43654,21717.60735,21370.65491,21742.36722,21844.56814,21597.1938,21857.25051,21479.90954,21852.54664,21632.11,21299.00143,21969.43529,21047.59605,21586.00482,21772.99616,22213.30237,22340.31224,21969.05791,21157.01634,22004.98619,22053.92481,22237.0231,21257.957,21424.07328,21415.02491,20781.20644,23586.93193,20694.28862,20190.15347,21424.07328
"47",20639.71429,20497.0653,20561.41064,20783.11623,20777.54502,20847.88104,20577.08765,20717.36962,20595.4833,20615.853,20643.39107,20627.61775,20604.97307,20621.04232,20739.17334,20673.76358,20661.16957,20815.64537,20862.62426,20944.5751,20830.91267,20747.10447,20911.72006,20962.13978,21134.24471,20894.35633,20982.75317,20750.03926,21057.70708,21017.10492,20906.21282,21388.2315,21139.5107,20916.70097,20717.82606,21079.44892,20853.48359,20604.79386,21049.71651,21187.58011,20802.38069,20907.96833,20644.10768,20806.56925,20736.01523,20915.61415,20514.29396,20583.86066,20694.15644,20656.2884,22508.51181,19542.29376,19486.36972,20802.38069
"48",20189.28571,19819.77866,19862.25745,19931.81675,19935.58688,20065.09683,19911.10995,19950.69599,19945.92463,19957.88421,19957.20109,19977.68013,19938.12402,19940.60004,19984.10999,19974.65557,19648.70105,19820.10467,19808.31348,19911.31711,19892.01137,19877.45874,20140.04612,19829.67084,20008.79325,19792.63137,19757.78771,19920.91453,19757.49853,19866.16002,19810.9978,20596.51004,20205.57477,19930.58136,19626.57466,20293.02808,20085.55601,19881.94127,19906.06619,20126.69449,19960.75649,19982.0772,19939.44402,19943.26202,19674.3846,19966.01352,19793.12519,19911.88124,19761.61394,19993.84092,21716.12272,19023.30569,18818.47966,19911.88124
"49",19878.57143,19631.54732,19667.95288,19706.29205,19755.67824,19859.54634,19609.80572,19682.2079,19654.57572,19671.71065,19672.97012,19666.97753,19637.9135,19682.66833,19716.19385,19693.62758,19617.56319,19753.20222,19856.97665,19804.79082,19992.75818,19741.3856,19862.77558,19786.27478,19965.39643,20082.33798,19388.09495,19936.0694,20205.97734,20040.47716,20080.60741,18682.09547,19494.91188,19437.55664,19445.81179,19854.54331,19798.20376,19531.86037,19505.98693,20131.60425,20007.24452,19590.25278,19556.16618,19842.23887,20092.90436,19980.02924,19612.47654,19709.89772,19389.24095,19275.38049,21095.86443,18638.21687,18654.56797,19682.2079
"50",18853.85714,19443.90251,19469.73819,19480.58221,19520.38073,19558.68707,19399.85392,19442.97845,19417.52264,19437.10513,19430.7866,19418.85224,19409.69001,19425.875,19464.8367,19434.51351,19376.12174,19479.89953,19529.00205,19458.76618,19610.61675,19468.14954,19503.86128,19441.47119,19492.64269,19542.01365,19186.18446,19478.56949,19554.15225,19494.38644,19533.49384,20330.79324,19981.89132,19900.11092,19974.72297,20275.24274,19672.17713,20007.35256,19935.00693,20103.4472,20148.74103,19704.09553,19711.57293,20113.72101,20186.94543,20226.91617,19409.82501,19552.79622,19420.46234,19388.84255,20731.18226,18539.72352,18461.48003,19520.38073
"51",18257.14286,18054.74861,18081.59179,18112.40944,18037.39029,18039.98594,18172.77022,18170.24555,18183.29378,18215.00892,18199.38722,18134.98724,18212.37352,18093.56862,18194.55793,18141.83541,18005.33812,18099.9957,18169.68277,18105.57816,18157.10966,18226.73075,18214.58158,18234.85185,18232.2648,18165.87251,17977.18206,18135.75251,18293.3106,18219.57357,18167.70385,18435.2783,18045.96267,18036.58484,18029.21062,18152.11135,18005.96696,18100.27273,18411.20281,18215.54413,17972.79647,18187.01251,18329.59067,18031.601,18126.54453,18248.98011,17980.37077,18139.75676,18396.63359,18562.73298,20222.82431,17875.48484,17068.16444,18054.74861
