"","Target","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","ARIMA","ETS","SVR","ELM","XGB","MLP","LSTM","DESTC"
"31",111422.2857,111871.6561,111783.8504,111837.6707,111651.7424,111659.9874,111391.5236,112017.1938,112153.5018,112137.6256,112153.4342,111998.6762,111796.5303,112446.7183,112376.0897,112907.0093,111652.5575,111874.2065,112027.096,111875.8189,111816.5425,110949.0876,111075.6134,111140.6121,111806.5755,111282.3695,110191.0864,110798.3181,111459.9927,111288.1676,111621.7694,113474.4164,112545.1561,112313.2185,112695.8204,113156.6605,110521.2129,112323.4615,112999.7289,113247.4791,112079.4077,108313.8282,112558.6781,112996.288,112578.3248,111693.9732,111819.1253,112033.2545,111661.8126,111847.8029,121336.6961,110302.2538,111104.0311,112079.4077
"32",104167.5714,111851.9208,111770.6345,111805.2591,111661.3915,111554.251,111340.6109,111999.2067,112125.6931,112105.3022,112119.574,111956.0171,111758.071,112315.8897,112306.1784,112816.2102,111927.5024,111680.8217,112095.4768,111786.9696,112022.65,112337.2563,111974.7795,112380.9857,112318.012,112600.7909,111888.8867,112306.2977,112543.4103,112276.9269,112464.4141,104194.4392,109205.5185,108993.076,108707.9041,108350.0699,110385.9848,109301.5999,109366.3979,109489.3365,110002.373,108274.3782,109492.4373,109544.1629,109536.9985,109615.9646,111849.2467,112123.3,111703.0665,111780.8739,121935.835,109853.6898,111428.1758,110002.373
"33",106295.5714,101235.6077,100747.8166,100972.7489,99543.18925,99568.58069,100095.2544,100630.9104,101161.2154,101314.1316,101401.3056,100593.6508,100422.5613,101692.075,101251.3187,102029.8052,101257.7512,100866.2126,101231.9277,100426.5414,100642.4999,100269.3213,100470.4339,101624.7752,101897.7099,102005.126,100563.8877,100921.0261,101943.0692,102467.0928,102637.456,110798.684,104252.4346,103679.818,104173.7133,104138.8177,102930.2448,102815.4587,103130.9448,104439.5514,104442.0965,101415.8808,104563.7678,103330.3892,104181.9277,102969.6184,101285.7999,102787.7856,102096.63,102020.4342,119829.1861,108299.0376,102923.3112,104563.7678
"34",105837.2857,106080.9733,105981.5071,105839.5609,106850.7394,106224.4944,105666.4952,106967.6809,106941.4251,106803.3641,106642.7667,106758.0419,106463.5028,106246.4502,106918.8732,107012.9321,106112.5865,106462.6992,106106.6708,105197.4004,105081.9718,107378.9811,106895.1821,106719.6072,107422.4098,107447.4628,107312.1226,106019.4889,106679.0036,106424.1537,106774.6088,101117.0052,105129.208,105380.8396,105046.8504,105735.9384,103210.1402,105585.954,106153.4973,105602.9293,104274.2564,100644.5051,106098.7733,106042.6058,104764.8764,104483.746,105914.1549,105881.0873,105396.8714,105468.9578,118930.7938,105202.8977,104924.2466,104924.2466
"35",106942.8571,105127.4701,105164.5245,104769.5308,104685.6491,105501.5621,104283.7243,104269.2471,104264.534,104084.2785,103914.7571,104093.4479,104048.2178,105608.9402,104723.2503,105507.0228,105147.8438,105248.1697,104669.5769,105749.1709,106033.458,103825.065,104339.2264,104090.0845,103285.5497,104245.4786,104308.7013,103774.1793,105020.8678,104570.1952,104681.1802,104628.0807,103819.9198,104162.8662,104417.6181,104101.7691,104846.944,104040.5891,104261.5926,102968.4444,104098.8078,102014.898,103385.7209,105282.8729,103595.5262,103940.3864,105473.5006,105430.6835,104662.1264,103062.3354,117185.676,104162.8556,103848.6278,103848.6278
"36",106252.7143,107090.4281,107679.6637,107776.8067,108212.2783,108393.1089,106603.5714,107410.9574,106936.3812,107066.8266,107327.7497,106937.6351,106910.4193,106308.8715,106983.2176,107547.1675,107155.4191,107691.5999,107417.9774,107398.0675,107402.2313,108105.208,107589.789,107608.7954,107100.4327,107631.3018,108193.5921,107143.0077,106888.1624,106710.4869,106495.161,108988.9657,107084.505,107381.1982,107659.4185,108078.4912,108511.812,107829.2851,108248.1477,108446.6381,108198.0401,106261.0335,107523.3301,107649.8638,106392.2898,107193.1092,107249.084,106944.1616,106695.4799,106867.2647,117977.8341,104296.7578,105779.1782,107523.3301
"37",107309.7143,106182.1035,106022.759,105984.375,105673.2681,105666.7035,105533.0319,106050.5746,106253.5867,106190.8736,106169.0576,106013.8739,105817.0618,106835.3489,106543.7057,107181.7026,105939.6036,106359.763,105708.7491,106683.8979,106919.9788,104970.452,104905.9046,105214.8415,105896.1887,105233.5375,103318.2128,105300.1908,105825.4064,105244.218,105845.9364,104156.3509,106160.1538,105939.4676,105774.7695,106503.5688,103149.8923,105602.1618,106363.8277,106756.5831,106093.5553,102165.8356,105945.6922,107070.5745,105683.9851,104718.3065,106096.7728,106076.0303,105785.0953,105848.2271,117946.7323,103171.0466,105533.9097,105533.9097
"38",108872.5714,107713.4143,107793.6806,107786.6238,107964.1308,107839.5074,107250.4072,107988.3117,107936.5479,107913.8942,107942.6806,107867.6414,107715.6222,107785.9679,108045.2904,108511.7135,107834.4845,107743.3643,108695.913,107791.7373,108038.8593,108689.4542,108017.0093,108316.8901,108475.3044,108973.3115,108186.1122,108477.9444,108705.6001,108117.2673,108299.3722,102531.6835,107474.3948,107530.0583,106764.8236,107112.4291,105786.1441,108512.1052,107944.0324,108400.0988,109265.1228,106055.534,108657.6389,108430.9384,107897.5168,107742.8894,107687.87,107458.7099,107327.6801,107440.4477,118428.7285,102193.5798,107108.1478,107108.1478
"39",118573.8571,109662.6754,109704.7708,109600.9139,109715.6267,110018.9222,109260.5191,109693.3046,109677.2555,109584.517,109537.5673,109513.1882,109462.5807,110056.4035,109878.6231,110511.9336,109615.4436,109767.8579,109562.4624,109742.9774,109618.5953,109344.5093,109436.8451,109311.5416,109250.203,109442.6856,109070.7435,109152.8217,109619.5529,109296.1077,109563.4181,115117.5855,113109.0826,113286.619,113099.821,113438.8689,108599.1828,113166.9091,112760.0947,112433.0879,112018.4637,108881.8312,113284.1207,112016.623,111185.0292,110834.1717,109702.6011,109379.0394,109274.4875,108933.7005,118992.1667,102631.6691,108868.2772,113284.1207
"40",120637.5714,123000.6978,123638.6637,123456.251,125037.4761,124718.773,123942.0797,123882.1528,123141.3878,123186.1443,122927.6744,123015.4353,123764.6241,122535.6622,122791.9572,123803.809,123020.077,123937.5953,123514.7353,123670.2292,122444.5166,124475.4903,123774.0924,123041.4808,122994.8119,123814.1954,123597.3538,123535.3156,123314.5666,122259.7575,122520.6367,115777.8512,120908.3976,122141.3984,121733.2406,121951.1234,120479.8272,123098.1022,123202.0378,121735.2112,120854.2989,118770.7377,121578.0165,121890.7752,119588.0972,119510.0986,123050.9396,121425.4657,121669.2736,121529.5932,122777.0939,105899.1349,120040.9108,120040.9108
