"Target","ARIMA","ETS","SVR","ELM","XGB","LSTM","MLP"
19603.8571428571,19487.027034861,19507.28063399,19534.85708246,19436.7523386863,22708.3511155319,16886.1952820889,18646.1467860185
20341,20036.0942479137,20060.614104887,20188.8808413141,20014.043719475,23193.1312075087,17450.0263065639,19284.4420747289
20933.2857142857,20885.6114671293,20921.2209744741,21087.2855156797,20920.9203528458,23691.6588826946,18234.0919371347,19866.3558136892
21465.7142857143,21432.2809073933,21461.4222236775,21444.8897195992,21376.6378296139,24208.232007627,18693.8270192671,20416.563470751
22129.1428571429,21917.2128849661,21942.3580807322,21977.0376081073,21846.1954687976,24753.5020868026,19207.7791909065,21046.1450213804
22886,22638.7392388026,22670.3729621351,22840.1513210935,22666.2806279209,25277.9629147734,19909.9710850176,21700.9175354143
23623.7142857143,23465.6541462921,23502.7292340635,23666.7401570173,23473.7337661876,25833.061568798,20676.770719961,22315.1273813035
24624,24214.5214090896,24250.7472007886,24368.5673232183,24184.5448179661,26446.2745829253,21371.0593840593,22970.3346506229
25853.4285714286,25364.354408106,25413.4433345851,25555.4263735188,25414.9014396092,27177.1230611461,22509.0561872267,23760.7570245479
26764.1428571429,26767.8027301545,26829.1867587157,27031.1727040937,26877.2372773523,28020.2750404222,23792.6773786942,24646.9435663067
27492.4285714286,27555.3635013153,27600.4955128612,27602.2633286407,27509.9039050884,28893.6859875747,24465.7282470919,25575.388321824
27809.2857142857,28143.8320453535,28177.4877476769,28195.4485269324,28076.3069502966,29737.3565677986,25105.1445833601,26595.9887763049
27946.5714285714,28188.2865437778,28200.5977556646,28147.2439157443,28112.7823429184,30296.3555978139,25094.5520813664,27441.6002283394
27844.1428571429,28140.8966831688,28143.5276519304,28115.102936933,27980.7406933897,30659.6371144454,25130.0156910902,28025.0542431687
27460.2857142857,27847.6348603431,27839.1219077138,27839.3320280821,27697.2540425657,30762.91633793,24807.8433921053,28331.3890281788
26905.8571428571,27247.8212235415,27225.732185552,26992.9309111,26996.0813207016,30667.8664109224,24262.8434822857,28359.635700162
26267,26531.2906903515,26501.0758734998,26444.925369054,26288.8017145283,30381.8968056469,23613.0892864054,28186.596885711
