"Target","ARIMA","ETS","SVR","ELM","XGB","LSTM","MLP"
109131.428571429,112163.726074795,113096.489105837,111222.798053397,112584.415571,102714.168504647,112347.734834382,97423.9796033076
117603.714285714,112288.460514882,113084.293250783,109777.892230573,111827.423996453,106369.339801499,111416.766996809,98486.5189125708
121438.142857143,121835.947784443,122459.448688079,123584.460526881,122243.713332447,110296.045757532,125675.953395367,101198.391106214
125427,125255.951240878,125985.636725436,125244.032629733,125674.373756942,116064.49600918,126411.101873772,101986.785211223
127699.857142857,129001.677615759,129634.261983448,128189.346955721,128115.041610471,120457.065599646,130834.456910321,104325.216558916
126809.285714286,130686.25370064,131246.088217723,130150.018926078,130972.288905047,123898.979096242,131847.69963571,105985.314381889
128866.142857143,128616.140766036,129100.888474624,125073.46730057,127413.207994106,125615.806436879,128722.896168828,106116.012507592
128855.428571429,130599.631792669,130865.899004828,130713.03834063,129796.080524496,126257.241093601,133409.118854914,106271.999695386
125348.571428571,130029.112905649,130282.335899798,129217.871362548,129279.322343258,127301.705938067,131716.564837013,104073.711900115
121914.857142857,125279.965630644,125567.585411566,122844.87411071,123268.262414925,126598.662417616,125493.452562519,101834.813516395
115377.285714286,121021.28892796,121230.479696532,119565.290832639,119437.072346372,123873.709019933,122154.024319053,99216.0001349449
98743.8571428571,113158.261332001,113491.031895695,110172.08754415,111133.180291302,119804.866004331,113026.69488992,94721.657258187
99830.1428571429,93134.992015431,94348.7704863926,86393.1266410682,88870.808908863,111142.773678814,88789.3122403962,85656.325901321
94555.7142857143,96291.9862390897,96518.7467786004,99612.4623524417,94455.1997193261,101995.97432988,102280.001633848,80615.8380094596
93611.4285714286,90853.6864836997,91332.57572556,92356.0450544359,90391.4907343226,98443.9812672138,92434.2596934523,72862.7944357906
86780.2857142857,90866.3394880605,91067.9753778335,92303.8947449597,89145.3599104749,95120.1688297306,94138.6038821936,71340.7232505083
80811.4285714286,83232.4219565227,83746.9370272471,83981.9342283165,83345.5038273304,91624.9147776195,82973.0178172248,69027.9037232058
75840,76931.5151208397,77454.1484972313,73189.270339279,75075.5273225473,86218.4474522727,77422.5623185294,68205.1928165981
83365.1428571429,71980.8022843157,72471.102950097,72971.6535992856,71406.226613113,80684.5475557872,72821.4908662864,66326.6255961146
75439.8571428572,82602.600104061,82477.6655205095,87951.1474175537,83216.2911307211,79317.153539317,88223.8017272949,66148.0832988875
72063.2857142857,72967.4301979534,73545.2354855371,71805.0235974613,72512.7013402673,79836.7849093676,71368.2811135905,63052.261628764
71129.2857142857,69552.6055944922,69888.1955984225,67711.1737674655,67494.3819128954,75687.3947121416,70065.8944158895,63553.3296501211
63647.8571428571,69195.1698204195,69349.3698013573,70838.6184150014,70698.5674036964,72687.3373281956,70207.442916206,63301.2791500773
59775.1428571428,60489.9017008416,61045.1856680607,56220.2043481471,58338.5033300417,69535.8968086754,59338.7755014215,59274.0814480611
55474.2857142857,56676.884071925,57072.9754454469,58056.8481332076,55179.8047877247,64274.5378178358,57098.2111153007,55384.6873007928
51565.2857142857,52310.9241144779,52742.7399096555,51858.7257267669,51938.4211797113,59936.7422094515,52498.9528052722,48946.9834748336
47671.8571428571,48454.4075722812,48879.4589099273,47847.9253456509,46937.7209971722,55890.3878530434,48971.9972430808,46008.4637579322
