"","RMSE","MAE","MAPE","R2","WPOCID","Theil"
"X37",412.172874933049,240.250430609646,6.0628244265977,0.978768666335923,0.396396396396396,1.22884186727714
"X38",406.61664249608,241.715572234849,6.29790895571986,0.979298785905274,0.36036036036036,1.19564597971711
"X39",417.234650715461,245.768169283753,6.20797421875194,0.978359508940781,0.414414414414414,1.25915327966074
"X40",448.62060748265,260.504853195023,6.30675948433719,0.975008056420228,0.45045045045045,1.45601976518218
"X41",437.957949785635,273.57558893469,6.67979565523073,0.979738523824146,0.369369369369369,1.38781853735055
"X42",437.35590958378,272.535752847337,6.82238345580261,0.976832120915822,0.414414414414414,1.38376580574684
"X43",423.97839090213,267.869219810959,6.97972866999737,0.977646089620437,0.423423423423423,1.30032677219023
"X44",461.337015995072,298.340183594471,8.01177554620888,0.974247626316323,0.477477477477477,1.53967114945114
"X45",464.140042502366,288.366446249842,7.16287129907122,0.97342592810495,0.495495495495496,1.55825542733382
"ARIMA",398.902990080111,220.82514982157,5.86218643767049,0.98028527180595,0.342342342342342,1.1504578661138
"ETS",372.313003184725,201.983893546677,5.48823755920196,0.98286378921457,0.315315315315315,1.00268151394415
"SVR",423.074925547121,237.651552847548,5.84309117201771,0.977884350270442,0.405405405405405,1.29373257188729
"ELM",606.906006023046,356.818955803084,9.71233474865666,0.954271959646376,0.486486486486487,2.66584107976944
"XGB",596.578885630981,531.451695022127,18.0170816328456,0.973771320209083,0.297297297297297,2.57379744606473
"LSTM",432.405418694792,258.453162625936,6.30708385516657,0.979944713121454,0.36036036036036,1.34676614648815
"MLP",485.50338090235,355.017221220497,8.79925332665292,0.974628904821483,0.333333333333333,1.70414110539336
"DESTC",377.282877938207,204.352828537851,5.3868678877631,0.98226772850016,0.342342342342342,1.02847595990683
"DESTCRI",360.586235595377,194.935490751476,5.18020976081267,0.98375582346557,0.36036036036036,0.939706777070163
"cSA",369.763375126059,205.507140473981,5.56917415457917,0.982862296685866,0.342342342342342,0.988590562955198
"cSM",371.62102331148,202.858621304383,5.42696367546146,0.982683399113377,0.342342342342342,0.998263175110339
